OBJECTID,COUNTY_NAME,COUNTY_ABBREV,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,ISLAND,GlobalID,SHAPE_Length,SHAPE_Area
51,Sutter,SUT,51,51,101,,{F980CCE0-9272-4962-922F-E2C7343A994C},350551.696650269,2614846608.23927
52,Tehama,TEH,52,52,103,,{6D366794-51DC-48B7-81FD-8FBAA1A69238},626814.90786467,13117330466.515
53,Trinity,TRI,53,53,105,,{2CDCC639-3309-4168-9D1F-F9C64504994D},807269.68859686,14447626019.2183
54,Tulare,TUL,54,54,107,,{709BE848-8AAC-4CD3-BF13-8B982EDE6775},654530.718363951,19311031190.5204
55,Tuolumne,TUO,55,55,109,,{459450DA-AFC0-4845-9007-2216BD515717},643353.197291476,9522573610.55035
56,Ventura,VEN,56,56,111,,{DFDE8E6B-742D-48C4-A4A0-4952E37D938B},370211.927724654,6999718265.99567
57,Yolo,YOL,57,57,113,,{33CD46B3-A884-45B7-9638-80F30B53983F},419556.871400423,4346599728.27516
58,Yuba,YUB,58,58,115,,{D0B131E8-925B-4476-8243-47C737385893},363851.509144691,2786356525.28967
59,Santa Barbara,SBA,42,42,083,Channel Islands,{66611833-E5DB-4C4A-A303-B798BE0B4868},1902.96825253824,79721.3267195442
60,Santa Barbara,SBA,42,42,083,Channel Islands,{56DA86ED-95AF-439F-BADD-4DDC85558619},14848.6556688822,3749446.31583325
61,Santa Barbara,SBA,42,42,083,Channel Islands,{F23BE533-83AB-4FF1-B01F-26DB42FD5F6F},126896.070090363,311065614.629382
62,Santa Barbara,SBA,42,42,083,Channel Islands,{0D4C5811-29C6-46C6-84F1-0995D567A61B},65871.3321834834,54194905.8520818
63,Santa Barbara,SBA,42,42,083,Channel Islands,{B8540E93-D1E4-4AF7-8F81-64260A5216DA},175301.704405217,363701291.49798
64,Ventura,VEN,56,56,111,Channel Islands,{099A7446-FC1F-49A0-A081-091B8E057558},71770.0438814712,82698475.5767656
65,Ventura,VEN,56,56,111,Channel Islands,{86C2171F-D249-45A0-AC0C-40A4E6CB82E2},11880.9001108831,875009.351026992
66,Ventura,VEN,56,56,111,Channel Islands,{71E2D2AD-A83C-4F5D-BC3B-B7AD9B12F57B},14258.5264477058,2595855.41355094
67,Ventura,VEN,56,56,111,Channel Islands,{D90412B1-C6AF-4437-94D9-48DC3A13A64D},7967.0301697072,608208.24827948
68,Los Angeles,LOS,19,19,037,Channel Islands,{3CB33DC3-E564-4BBF-8528-866600A1F9E4},135274.19961938,207658042.004014
69,Los Angeles,LOS,19,19,037,Channel Islands,{991044AE-CBC3-43B8-898A-702C5315293C},143353.768380609,277617205.354576
