county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
Sutter County,2020-05-11,19.0,19.0,,,
Tehama County,2020-05-11,,,,,
Trinity County,2020-05-11,,,,,
Tulare County,2020-05-11,56.0,16.0,,,
Tuolumne County,2020-05-11,50.0,,,,
Ventura County,2020-05-11,388.0,316.0,,,
Yolo County,2020-05-11,246.0,224.0,,,
Yuba County,2020-05-11,28.0,22.0,,,
Wilton Rancheria Tribe,2020-05-11,,,,,
Bishop Paiute Tribal Council,2020-05-11,,,,,
Alameda County,2020-05-12,533.0,334.0,91.0,91.0,
Alpine County,2020-05-12,,,,,
Amador County,2020-05-12,,,,,
Butte County,2020-05-12,118.0,118.0,,,
Calaveras County,2020-05-12,73.0,25.0,,,
Colusa County,2020-05-12,,,,,
Contra Costa County,2020-05-12,576.0,254.0,,,
Del Norte County,2020-05-12,19.0,,,,
El Dorado County,2020-05-12,26.0,,,,
Fresno County,2020-05-12,305.0,250.0,28.0,28.0,
Glenn County,2020-05-12,,,,,
Humboldt County,2020-05-12,64.0,40.0,15.0,,
Imperial County,2020-05-12,132.0,132.0,37.0,,
Inyo County,2020-05-12,,,,,
Kern County,2020-05-12,,,15.0,15.0,
Kings County,2020-05-12,41.0,,,,
Lake County,2020-05-12,15.0,,,,
Lassen County,2020-05-12,,,,,
Los Angeles County,2020-05-12,3822.0,1965.0,651.0,651.0,
Madera County ,2020-05-12,21.0,21.0,,,
Marin County ,2020-05-12,189.0,103.0,44.0,,
Mariposa County,2020-05-12,44.0,16.0,,,
Mendocino County,2020-05-12,183.0,143.0,,,
Merced County,2020-05-12,112.0,74.0,,,
Modoc County,2020-05-12,,,,,
Mono County,2020-05-12,,,,,
Monterey County,2020-05-12,142.0,24.0,108.0,15.0,
Napa County ,2020-05-12,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-12,70.0,,,,
Orange County,2020-05-12,666.0,202.0,78.0,78.0,
Placer County,2020-05-12,73.0,30.0,12.0,12.0,
Plumas County,2020-05-12,,,,,
Riverside County,2020-05-12,278.0,278.0,15.0,15.0,
Sacramento County,2020-05-12,420.0,275.0,63.0,63.0,
San Benito County,2020-05-12,67.0,57.0,,,
San Bernardino County,2020-05-12,50.0,37.0,20.0,,20.0
San Diego County,2020-05-12,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-12,2508.0,978.0,91.0,91.0,
San Joaquin County,2020-05-12,76.0,32.0,,,
San Luis Obispo County,2020-05-12,155.0,,14.0,14.0,
San Mateo County,2020-05-12,158.0,158.0,,,
Santa Barbara County,2020-05-12,115.0,107.0,,,
Santa Clara County,2020-05-12,709.0,361.0,105.0,105.0,
Santa Cruz County,2020-05-12,63.0,47.0,35.0,,
Shasta County,2020-05-12,29.0,20.0,,,
Sierra County,2020-05-12,,,,,
Siskiyou County,2020-05-12,,,,,
Solano County,2020-05-12,238.0,19.0,,,
Sonoma County,2020-05-12,157.0,71.0,,,
Stanislaus County,2020-05-12,121.0,85.0,,,
Sutter County,2020-05-12,19.0,19.0,,,
Tehama County,2020-05-12,,,,,
Trinity County,2020-05-12,,,,,
Tulare County,2020-05-12,56.0,18.0,,,
Tuolumne County,2020-05-12,50.0,,,,
Ventura County,2020-05-12,388.0,314.0,,,
Yolo County,2020-05-12,246.0,226.0,,,
Yuba County,2020-05-12,29.0,22.0,,,
Wilton Rancheria Tribe,2020-05-12,,,,,
Bishop Paiute Tribal Council,2020-05-12,,,,,
Alameda County,2020-05-13,533.0,350.0,91.0,91.0,
Alpine County,2020-05-13,,,,,
Amador County,2020-05-13,,,,,
Butte County,2020-05-13,116.0,116.0,,,
Calaveras County,2020-05-13,73.0,25.0,,,
Colusa County,2020-05-13,,,,,
Contra Costa County,2020-05-13,575.0,272.0,,,
Del Norte County,2020-05-13,19.0,,,,
El Dorado County,2020-05-13,26.0,17.0,,,
Fresno County,2020-05-13,305.0,250.0,28.0,28.0,
Glenn County,2020-05-13,,,,,
Humboldt County,2020-05-13,64.0,40.0,15.0,,
Imperial County,2020-05-13,132.0,132.0,37.0,,
Inyo County,2020-05-13,,,,,
Kern County,2020-05-13,,,15.0,15.0,
Kings County,2020-05-13,41.0,11.0,,,
Lake County,2020-05-13,15.0,,,,
Lassen County,2020-05-13,,,,,
Los Angeles County,2020-05-13,3822.0,1995.0,651.0,651.0,
Madera County ,2020-05-13,21.0,21.0,,,
Marin County ,2020-05-13,191.0,106.0,44.0,,
Mariposa County,2020-05-13,44.0,17.0,,,
Mendocino County,2020-05-13,186.0,146.0,,,
Merced County,2020-05-13,112.0,74.0,,,
Modoc County,2020-05-13,,,,,
Mono County,2020-05-13,,,,,
Monterey County,2020-05-13,142.0,24.0,108.0,15.0,
Napa County ,2020-05-13,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-13,70.0,,,,
Orange County,2020-05-13,666.0,221.0,78.0,78.0,
Placer County,2020-05-13,73.0,34.0,12.0,12.0,
Plumas County,2020-05-13,,,,,
Riverside County,2020-05-13,280.0,280.0,15.0,15.0,
Sacramento County,2020-05-13,420.0,275.0,63.0,63.0,
San Benito County,2020-05-13,67.0,56.0,,,
San Bernardino County,2020-05-13,50.0,37.0,20.0,,20.0
San Diego County,2020-05-13,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-13,2508.0,990.0,91.0,91.0,
San Joaquin County,2020-05-13,76.0,35.0,,,
San Luis Obispo County,2020-05-13,155.0,,14.0,14.0,
San Mateo County,2020-05-13,156.0,156.0,,,
Santa Barbara County,2020-05-13,115.0,109.0,,,
Santa Clara County,2020-05-13,709.0,363.0,105.0,105.0,
Santa Cruz County,2020-05-13,63.0,48.0,35.0,,
Shasta County,2020-05-13,29.0,20.0,,,
Sierra County,2020-05-13,,,,,
Siskiyou County,2020-05-13,,,,,
Solano County,2020-05-13,238.0,20.0,,,
Sonoma County,2020-05-13,157.0,52.0,,,
Stanislaus County,2020-05-13,121.0,90.0,,,
Sutter County,2020-05-13,19.0,19.0,,,
Tehama County,2020-05-13,,,,,
Trinity County,2020-05-13,,,,,
Tulare County,2020-05-13,56.0,19.0,,,
Tuolumne County,2020-05-13,50.0,,,,
Ventura County,2020-05-13,388.0,317.0,,,
Yolo County,2020-05-13,246.0,230.0,,,
Yuba County,2020-05-13,29.0,22.0,,,
Wilton Rancheria Tribe,2020-05-13,,,,,
Bishop Paiute Tribal Council,2020-05-13,,,,,
Alameda County,2020-05-14,533.0,350.0,91.0,91.0,
Alpine County,2020-05-14,,,,,
Amador County,2020-05-14,,,,,
Butte County,2020-05-14,116.0,116.0,,,
Calaveras County,2020-05-14,73.0,25.0,,,
Colusa County,2020-05-14,,,,,
Contra Costa County,2020-05-14,575.0,279.0,,,
Del Norte County,2020-05-14,19.0,,,,
El Dorado County,2020-05-14,26.0,18.0,,,
Fresno County,2020-05-14,305.0,250.0,28.0,28.0,
Glenn County,2020-05-14,,,,,
Humboldt County,2020-05-14,64.0,40.0,15.0,,
Imperial County,2020-05-14,132.0,132.0,37.0,,
Inyo County,2020-05-14,,,,,
Kern County,2020-05-14,,,15.0,15.0,
Kings County,2020-05-14,41.0,19.0,,,
Lake County,2020-05-14,15.0,,,,
Lassen County,2020-05-14,,,,,
Los Angeles County,2020-05-14,3862.0,2051.0,651.0,651.0,
Madera County ,2020-05-14,21.0,21.0,,,
Marin County ,2020-05-14,191.0,109.0,44.0,,
Mariposa County,2020-05-14,44.0,16.0,,,
Mendocino County,2020-05-14,185.0,145.0,,,
Merced County,2020-05-14,112.0,74.0,,,
Modoc County,2020-05-14,,,,,
Mono County,2020-05-14,,,,,
Monterey County,2020-05-14,142.0,32.0,108.0,15.0,
Napa County ,2020-05-14,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-14,70.0,,,,
Orange County,2020-05-14,666.0,246.0,78.0,78.0,
Placer County,2020-05-14,73.0,34.0,12.0,12.0,
Plumas County,2020-05-14,,,,,
Riverside County,2020-05-14,286.0,286.0,15.0,15.0,
Sacramento County,2020-05-14,420.0,275.0,63.0,63.0,
San Benito County,2020-05-14,67.0,55.0,,,
San Bernardino County,2020-05-14,50.0,37.0,20.0,,20.0
San Diego County,2020-05-14,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-14,2508.0,995.0,91.0,91.0,
San Joaquin County,2020-05-14,76.0,35.0,,,
San Luis Obispo County,2020-05-14,155.0,,14.0,14.0,
San Mateo County,2020-05-14,158.0,158.0,,,
Santa Barbara County,2020-05-14,116.0,111.0,,,
Santa Clara County,2020-05-14,709.0,368.0,105.0,105.0,
Santa Cruz County,2020-05-14,118.0,59.0,35.0,,
Shasta County,2020-05-14,29.0,20.0,,,
Sierra County,2020-05-14,,,,,
Siskiyou County,2020-05-14,,,,,
Solano County,2020-05-14,238.0,21.0,,,
Sonoma County,2020-05-14,157.0,52.0,,,
Stanislaus County,2020-05-14,121.0,90.0,,,
Sutter County,2020-05-14,19.0,19.0,,,
Tehama County,2020-05-14,,,,,
Trinity County,2020-05-14,,,,,
Tulare County,2020-05-14,56.0,21.0,,,
Tuolumne County,2020-05-14,50.0,,,,
Ventura County,2020-05-14,388.0,320.0,,,
Yolo County,2020-05-14,246.0,231.0,,,
Yuba County,2020-05-14,32.0,22.0,,,
Wilton Rancheria Tribe,2020-05-14,,,,,
Bishop Paiute Tribal Council,2020-05-14,,,,,
Alameda County,2020-05-15,533.0,348.0,91.0,91.0,
Alpine County,2020-05-15,,,,,
Amador County,2020-05-15,,,,,
Butte County,2020-05-15,115.0,115.0,,,
Calaveras County,2020-05-15,73.0,25.0,,,
Colusa County,2020-05-15,,,,,
Contra Costa County,2020-05-15,574.0,310.0,,,
Del Norte County,2020-05-15,20.0,,,,
El Dorado County,2020-05-15,26.0,15.0,,,
Fresno County,2020-05-15,305.0,250.0,28.0,28.0,
Glenn County,2020-05-15,,,,,
Humboldt County,2020-05-15,64.0,40.0,15.0,,
Imperial County,2020-05-15,132.0,132.0,37.0,,
Inyo County,2020-05-15,,,,,
Kern County,2020-05-15,,,15.0,15.0,
Kings County,2020-05-15,41.0,32.0,,,
Lake County,2020-05-15,15.0,,,,
Lassen County,2020-05-15,,,,,
Los Angeles County,2020-05-15,3964.0,2170.0,651.0,651.0,
Madera County ,2020-05-15,24.0,21.0,,,
Marin County ,2020-05-15,191.0,112.0,44.0,,
Mariposa County,2020-05-15,44.0,16.0,,,
Mendocino County,2020-05-15,185.0,145.0,,,
Merced County,2020-05-15,112.0,74.0,,,
Modoc County,2020-05-15,,,,,
Mono County,2020-05-15,,,,,
Monterey County,2020-05-15,142.0,32.0,108.0,15.0,
Napa County ,2020-05-15,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-15,70.0,,,,
Orange County,2020-05-15,666.0,246.0,78.0,78.0,
Placer County,2020-05-15,73.0,34.0,12.0,12.0,
Plumas County,2020-05-15,,,,,
Riverside County,2020-05-15,286.0,286.0,15.0,15.0,
Sacramento County,2020-05-15,420.0,275.0,63.0,63.0,
San Benito County,2020-05-15,67.0,42.0,,,
San Bernardino County,2020-05-15,50.0,37.0,20.0,,20.0
San Diego County,2020-05-15,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-15,2508.0,988.0,91.0,91.0,
San Joaquin County,2020-05-15,76.0,38.0,,,
San Luis Obispo County,2020-05-15,155.0,,14.0,14.0,
San Mateo County,2020-05-15,158.0,158.0,,,
Santa Barbara County,2020-05-15,116.0,114.0,,,
Santa Clara County,2020-05-15,689.0,366.0,105.0,105.0,
Santa Cruz County,2020-05-15,118.0,64.0,35.0,,
Shasta County,2020-05-15,29.0,20.0,,,
Sierra County,2020-05-15,,,,,
Siskiyou County,2020-05-15,,,,,
Solano County,2020-05-15,238.0,25.0,,,
Sonoma County,2020-05-15,157.0,52.0,,,
Stanislaus County,2020-05-15,121.0,90.0,,,
Sutter County,2020-05-15,19.0,19.0,,,
Tehama County,2020-05-15,,,,,
Trinity County,2020-05-15,,,,,
Tulare County,2020-05-15,113.0,24.0,,,
Tuolumne County,2020-05-15,50.0,,,,
Ventura County,2020-05-15,388.0,319.0,,,
Yolo County,2020-05-15,246.0,231.0,,,
Yuba County,2020-05-15,25.0,21.0,,,
Wilton Rancheria Tribe,2020-05-15,,,,,
Bishop Paiute Tribal Council,2020-05-15,,,,,
Alameda County,2020-05-16,533.0,348.0,91.0,91.0,
Alpine County,2020-05-16,,,,,
Amador County,2020-05-16,,,,,
Butte County,2020-05-16,115.0,115.0,,,
Calaveras County,2020-05-16,73.0,25.0,,,
Colusa County,2020-05-16,,,,,
Contra Costa County,2020-05-16,574.0,310.0,,,
Del Norte County,2020-05-16,20.0,,,,
El Dorado County,2020-05-16,26.0,15.0,,,
Fresno County,2020-05-16,305.0,250.0,28.0,28.0,
Glenn County,2020-05-16,,,,,
Humboldt County,2020-05-16,74.0,50.0,15.0,,
Imperial County,2020-05-16,132.0,132.0,37.0,,
Inyo County,2020-05-16,,,,,
Kern County,2020-05-16,,,15.0,15.0,
Kings County,2020-05-16,41.0,36.0,,,
Lake County,2020-05-16,15.0,,,,
Lassen County,2020-05-16,,,,,
Los Angeles County,2020-05-16,3964.0,2170.0,651.0,651.0,
Madera County ,2020-05-16,24.0,21.0,,,
Marin County ,2020-05-16,191.0,112.0,44.0,,
Mariposa County,2020-05-16,44.0,16.0,,,
Mendocino County,2020-05-16,185.0,145.0,,,
Merced County,2020-05-16,112.0,74.0,,,
Modoc County,2020-05-16,,,,,
Mono County,2020-05-16,,,,,
Monterey County,2020-05-16,142.0,32.0,108.0,15.0,
Napa County ,2020-05-16,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-16,70.0,,,,
Orange County,2020-05-16,666.0,246.0,78.0,78.0,
Placer County,2020-05-16,73.0,34.0,12.0,12.0,
Plumas County,2020-05-16,,,,,
Riverside County,2020-05-16,299.0,299.0,15.0,15.0,
Sacramento County,2020-05-16,420.0,275.0,63.0,63.0,
San Benito County,2020-05-16,67.0,42.0,,,
San Bernardino County,2020-05-16,50.0,37.0,20.0,,20.0
San Diego County,2020-05-16,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-16,2508.0,978.0,91.0,91.0,
San Joaquin County,2020-05-16,76.0,38.0,,,
San Luis Obispo County,2020-05-16,155.0,,14.0,14.0,
San Mateo County,2020-05-16,158.0,158.0,,,
Santa Barbara County,2020-05-16,116.0,114.0,,,
Santa Clara County,2020-05-16,689.0,364.0,105.0,105.0,
Santa Cruz County,2020-05-16,118.0,64.0,35.0,,
Shasta County,2020-05-16,29.0,20.0,,,
Sierra County,2020-05-16,,,,,
Siskiyou County,2020-05-16,,,,,
Solano County,2020-05-16,238.0,25.0,,,
Sonoma County,2020-05-16,157.0,52.0,,,
Stanislaus County,2020-05-16,121.0,89.0,,,
Sutter County,2020-05-16,19.0,19.0,,,
Tehama County,2020-05-16,,,,,
Trinity County,2020-05-16,,,,,
Tulare County,2020-05-16,113.0,24.0,,,
Tuolumne County,2020-05-16,50.0,,,,
Ventura County,2020-05-16,388.0,319.0,,,
Yolo County,2020-05-16,246.0,231.0,,,
Yuba County,2020-05-16,28.0,20.0,,,
Wilton Rancheria Tribe,2020-05-16,,,,,
Bishop Paiute Tribal Council,2020-05-16,,,,,
Alameda County,2020-05-17,533.0,352.0,91.0,91.0,
Alpine County,2020-05-17,,,,,
Amador County,2020-05-17,,,,,
Butte County,2020-05-17,115.0,115.0,,,
Calaveras County,2020-05-17,73.0,25.0,,,
Colusa County,2020-05-17,,,,,
Contra Costa County,2020-05-17,574.0,291.0,,,
Del Norte County,2020-05-17,20.0,,,,
El Dorado County,2020-05-17,26.0,15.0,,,
Fresno County,2020-05-17,305.0,250.0,28.0,28.0,
Glenn County,2020-05-17,,,,,
Humboldt County,2020-05-17,74.0,50.0,15.0,,
Imperial County,2020-05-17,132.0,132.0,37.0,,
Inyo County,2020-05-17,,,,,
Kern County,2020-05-17,,,15.0,15.0,
Kings County,2020-05-17,41.0,37.0,,,
Lake County,2020-05-17,15.0,,,,
Lassen County,2020-05-17,,,,,
Los Angeles County,2020-05-17,3964.0,2281.0,651.0,651.0,
Madera County ,2020-05-17,24.0,21.0,,,
Marin County ,2020-05-17,191.0,112.0,44.0,,
Mariposa County,2020-05-17,44.0,16.0,,,
Mendocino County,2020-05-17,185.0,145.0,,,
Merced County,2020-05-17,112.0,74.0,,,
Modoc County,2020-05-17,,,,,
Mono County,2020-05-17,,,,,
Monterey County,2020-05-17,142.0,28.0,108.0,15.0,
Napa County ,2020-05-17,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-17,70.0,,,,
Orange County,2020-05-17,666.0,246.0,78.0,78.0,
Placer County,2020-05-17,73.0,34.0,12.0,12.0,
Plumas County,2020-05-17,,,,,
Riverside County,2020-05-17,299.0,299.0,15.0,15.0,
Sacramento County,2020-05-17,420.0,275.0,63.0,63.0,
San Benito County,2020-05-17,67.0,40.0,,,
San Bernardino County,2020-05-17,50.0,37.0,20.0,,20.0
San Diego County,2020-05-17,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-17,2508.0,995.0,91.0,91.0,
San Joaquin County,2020-05-17,76.0,38.0,,,
San Luis Obispo County,2020-05-17,155.0,,14.0,14.0,
San Mateo County,2020-05-17,158.0,158.0,,,
Santa Barbara County,2020-05-17,139.0,112.0,,,
Santa Clara County,2020-05-17,689.0,360.0,105.0,105.0,
Santa Cruz County,2020-05-17,118.0,69.0,35.0,,
Shasta County,2020-05-17,29.0,20.0,,,
Sierra County,2020-05-17,,,,,
Siskiyou County,2020-05-17,,,,,
Solano County,2020-05-17,238.0,25.0,,,
Sonoma County,2020-05-17,157.0,52.0,,,
Stanislaus County,2020-05-17,121.0,89.0,,,
Sutter County,2020-05-17,19.0,19.0,,,
Tehama County,2020-05-17,,,,,
Trinity County,2020-05-17,,,,,
Tulare County,2020-05-17,113.0,24.0,,,
Tuolumne County,2020-05-17,50.0,,,,
Ventura County,2020-05-17,388.0,319.0,,,
Yolo County,2020-05-17,246.0,231.0,,,
Yuba County,2020-05-17,28.0,20.0,,,
Wilton Rancheria Tribe,2020-05-17,,,,,
Bishop Paiute Tribal Council,2020-05-17,,,,,
Alameda County,2020-05-18,533.0,352.0,91.0,91.0,
Alpine County,2020-05-18,,,,,
Amador County,2020-05-18,,,,,
Butte County,2020-05-18,117.0,117.0,,,
Calaveras County,2020-05-18,73.0,25.0,,,
Colusa County,2020-05-18,,,,,
Contra Costa County,2020-05-18,574.0,288.0,,,
Del Norte County,2020-05-18,20.0,,,,
El Dorado County,2020-05-18,26.0,15.0,,,
Fresno County,2020-05-18,305.0,250.0,28.0,28.0,
Glenn County,2020-05-18,,,,,
Humboldt County,2020-05-18,74.0,51.0,15.0,,
Imperial County,2020-05-18,132.0,132.0,37.0,,
Inyo County,2020-05-18,,,,,
Kern County,2020-05-18,,,15.0,15.0,
Kings County,2020-05-18,41.0,38.0,,,
Lake County,2020-05-18,15.0,,,,
Lassen County,2020-05-18,,,,,
Los Angeles County,2020-05-18,3964.0,2314.0,651.0,651.0,
Madera County ,2020-05-18,24.0,21.0,,,
Marin County ,2020-05-18,191.0,110.0,44.0,,
Mariposa County,2020-05-18,44.0,15.0,,,
Mendocino County,2020-05-18,185.0,145.0,,,
Merced County,2020-05-18,112.0,74.0,,,
Modoc County,2020-05-18,,,,,
Mono County,2020-05-18,,,,,
Monterey County,2020-05-18,142.0,28.0,108.0,15.0,
Napa County ,2020-05-18,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-18,70.0,,,,
Orange County,2020-05-18,666.0,290.0,78.0,78.0,
Placer County,2020-05-18,73.0,34.0,12.0,12.0,
Plumas County,2020-05-18,,,,,
Riverside County,2020-05-18,302.0,302.0,15.0,15.0,
Sacramento County,2020-05-18,423.0,322.0,63.0,63.0,
San Benito County,2020-05-18,67.0,49.0,,,
San Bernardino County,2020-05-18,50.0,37.0,20.0,,20.0
San Diego County,2020-05-18,2029.0,409.0,44.0,44.0,
San Francisco,2020-05-18,2678.0,982.0,91.0,91.0,
San Joaquin County,2020-05-18,76.0,38.0,,,
San Luis Obispo County,2020-05-18,155.0,,14.0,14.0,
San Mateo County,2020-05-18,160.0,160.0,,,
Santa Barbara County,2020-05-18,136.0,110.0,,,
Santa Clara County,2020-05-18,689.0,380.0,105.0,105.0,
Santa Cruz County,2020-05-18,118.0,69.0,35.0,,
Shasta County,2020-05-18,29.0,20.0,,,
Sierra County,2020-05-18,,,,,
Siskiyou County,2020-05-18,,,,,
Solano County,2020-05-18,238.0,25.0,,,
Sonoma County,2020-05-18,157.0,52.0,,,
Stanislaus County,2020-05-18,121.0,85.0,,,
Sutter County,2020-05-18,19.0,19.0,,,
Tehama County,2020-05-18,,,,,
Trinity County,2020-05-18,,,,,
Tulare County,2020-05-18,113.0,24.0,,,
Tuolumne County,2020-05-18,50.0,,,,
Ventura County,2020-05-18,388.0,317.0,,,
Yolo County,2020-05-18,246.0,232.0,,,
Yuba County,2020-05-18,28.0,20.0,,,
Wilton Rancheria Tribe,2020-05-18,,,,,
Bishop Paiute Tribal Council,2020-05-18,,,,,
Alameda County,2020-05-19,533.0,357.0,91.0,91.0,
Alpine County,2020-05-19,,,,,
Amador County,2020-05-19,,,,,
Butte County,2020-05-19,117.0,117.0,,,
Calaveras County,2020-05-19,73.0,25.0,,,
Colusa County,2020-05-19,,,,,
Contra Costa County,2020-05-19,574.0,324.0,,,
Del Norte County,2020-05-19,20.0,,,,
El Dorado County,2020-05-19,26.0,15.0,,,
Fresno County,2020-05-19,305.0,250.0,28.0,28.0,
Glenn County,2020-05-19,,,,,
Humboldt County,2020-05-19,74.0,51.0,15.0,,
Imperial County,2020-05-19,132.0,132.0,37.0,,
Inyo County,2020-05-19,,,,,
Kern County,2020-05-19,,,15.0,15.0,
Kings County,2020-05-19,41.0,39.0,,,
Lake County,2020-05-19,15.0,,,,
Lassen County,2020-05-19,,,,,
Los Angeles County,2020-05-19,4056.0,2359.0,651.0,651.0,
Madera County ,2020-05-19,24.0,21.0,,,
Marin County ,2020-05-19,191.0,111.0,44.0,,
Mariposa County,2020-05-19,44.0,15.0,,,
Mendocino County,2020-05-19,185.0,145.0,,,
Merced County,2020-05-19,112.0,74.0,,,
Modoc County,2020-05-19,,,,,
Mono County,2020-05-19,,,,,
Monterey County,2020-05-19,142.0,28.0,108.0,15.0,
Napa County ,2020-05-19,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-19,70.0,,,,
Orange County,2020-05-19,666.0,299.0,78.0,78.0,
Placer County,2020-05-19,73.0,37.0,12.0,12.0,
Plumas County,2020-05-19,,,,,
Riverside County,2020-05-19,307.0,307.0,15.0,15.0,
Sacramento County,2020-05-19,423.0,329.0,63.0,63.0,
San Benito County,2020-05-19,67.0,52.0,,,
San Bernardino County,2020-05-19,50.0,37.0,20.0,,20.0
San Diego County,2020-05-19,2029.0,197.0,44.0,44.0,
San Francisco,2020-05-19,2678.0,988.0,91.0,91.0,
San Joaquin County,2020-05-19,76.0,42.0,,,
San Luis Obispo County,2020-05-19,155.0,,14.0,14.0,
San Mateo County,2020-05-19,161.0,161.0,,,
Santa Barbara County,2020-05-19,142.0,118.0,,,
Santa Clara County,2020-05-19,689.0,416.0,105.0,105.0,
Santa Cruz County,2020-05-19,118.0,70.0,35.0,,
Shasta County,2020-05-19,29.0,20.0,,,
Sierra County,2020-05-19,,,,,
Siskiyou County,2020-05-19,,,,,
Solano County,2020-05-19,238.0,25.0,,,
Sonoma County,2020-05-19,157.0,52.0,,,
Stanislaus County,2020-05-19,121.0,85.0,,,
Sutter County,2020-05-19,19.0,19.0,,,
Tehama County,2020-05-19,,,,,
Trinity County,2020-05-19,,,,,
Tulare County,2020-05-19,113.0,29.0,,,
Tuolumne County,2020-05-19,50.0,,,,
Ventura County,2020-05-19,388.0,319.0,,,
Yolo County,2020-05-19,246.0,232.0,,,
Yuba County,2020-05-19,37.0,20.0,,,
Wilton Rancheria Tribe,2020-05-19,,,,,
Bishop Paiute Tribal Council,2020-05-19,,,,,
Alameda County,2020-05-20,533.0,357.0,91.0,91.0,
Alpine County,2020-05-20,,,,,
Amador County,2020-05-20,,,,,
Butte County,2020-05-20,118.0,118.0,,,
Calaveras County,2020-05-20,73.0,23.0,,,
Colusa County,2020-05-20,,,,,
Contra Costa County,2020-05-20,574.0,335.0,,,
Del Norte County,2020-05-20,20.0,,,,
El Dorado County,2020-05-20,26.0,15.0,,,
Fresno County,2020-05-20,305.0,250.0,28.0,28.0,
Glenn County,2020-05-20,,,,,
Humboldt County,2020-05-20,74.0,51.0,15.0,,
Imperial County,2020-05-20,132.0,132.0,37.0,,
Inyo County,2020-05-20,,,,,
Kern County,2020-05-20,,,15.0,15.0,
Kings County,2020-05-20,41.0,39.0,,,
Lake County,2020-05-20,15.0,,,,
Lassen County,2020-05-20,,,,,
Los Angeles County,2020-05-20,4233.0,2352.0,651.0,651.0,
Madera County ,2020-05-20,24.0,21.0,,,
Marin County ,2020-05-20,191.0,112.0,44.0,,
Mariposa County,2020-05-20,44.0,16.0,,,
Mendocino County,2020-05-20,187.0,148.0,,,
Merced County,2020-05-20,112.0,74.0,,,
Modoc County,2020-05-20,,,,,
Mono County,2020-05-20,,,,,
Monterey County,2020-05-20,142.0,28.0,108.0,15.0,
Napa County ,2020-05-20,97.0,53.0,18.0,12.0,
Nevada County ,2020-05-20,70.0,,,,
Orange County,2020-05-20,666.0,315.0,78.0,78.0,
Placer County,2020-05-20,73.0,40.0,12.0,12.0,
Plumas County,2020-05-20,,,,,
Riverside County,2020-05-20,316.0,316.0,15.0,15.0,
Sacramento County,2020-05-20,423.0,338.0,63.0,63.0,
San Benito County,2020-05-20,67.0,56.0,,,
San Bernardino County,2020-05-20,50.0,37.0,20.0,,20.0
San Diego County,2020-05-20,1674.0,295.0,44.0,44.0,
San Francisco,2020-05-20,2678.0,999.0,91.0,91.0,
San Joaquin County,2020-05-20,76.0,42.0,,,
San Luis Obispo County,2020-05-20,155.0,,14.0,14.0,
San Mateo County,2020-05-20,162.0,162.0,,,
Santa Barbara County,2020-05-20,143.0,119.0,,,
Santa Clara County,2020-05-20,689.0,433.0,105.0,105.0,
Santa Cruz County,2020-05-20,118.0,71.0,35.0,,
Shasta County,2020-05-20,29.0,20.0,,,
Sierra County,2020-05-20,,,,,
Siskiyou County,2020-05-20,,,,,
Solano County,2020-05-20,238.0,29.0,,,
Sonoma County,2020-05-20,157.0,52.0,,,
Stanislaus County,2020-05-20,121.0,90.0,,,
Sutter County,2020-05-20,19.0,19.0,,,
Tehama County,2020-05-20,,,,,
Trinity County,2020-05-20,,,,,
Tulare County,2020-05-20,113.0,29.0,,,
Tuolumne County,2020-05-20,50.0,,,,
Ventura County,2020-05-20,388.0,320.0,,,
Yolo County,2020-05-20,246.0,232.0,,,
Yuba County,2020-05-20,33.0,20.0,,,
Wilton Rancheria Tribe,2020-05-20,,,,,
Bishop Paiute Tribal Council,2020-05-20,,,,,
Alameda County,2020-05-21,533.0,412.0,91.0,91.0,
Alpine County,2020-05-21,,,,,
Amador County,2020-05-21,,,,,
Butte County,2020-05-21,118.0,118.0,,,
Calaveras County,2020-05-21,73.0,23.0,,,
Colusa County,2020-05-21,,,,,
Contra Costa County,2020-05-21,568.0,350.0,,,
Del Norte County,2020-05-21,20.0,,,,
El Dorado County,2020-05-21,26.0,14.0,,,
Fresno County,2020-05-21,305.0,250.0,28.0,28.0,
Glenn County,2020-05-21,,,,,
Humboldt County,2020-05-21,74.0,49.0,15.0,,
Imperial County,2020-05-21,132.0,132.0,37.0,,
Inyo County,2020-05-21,,,,,
Kern County,2020-05-21,,,15.0,15.0,
Kings County,2020-05-21,41.0,36.0,,,
Lake County,2020-05-21,15.0,,,,
Lassen County,2020-05-21,,,,,
